usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
004;va;17;f;182.59999999999999;0;13;366.30000000000001;182.59999999999999
004;va;17;s;117.6;-17.77;14;117.6;50.3
004;va;17;s;66.6;-3.194;14;117.6;50.3
004;va;17;s;100.2;5.627;14;117.6;50.3
004;va;17;s;67.5;2.481;14;117.6;50.3
004;va;17;s;66.6;3.966;14;117.6;50.3
004;va;17;s;115.7;6.643;14;117.6;50.3
004;va;17;s;116.0;5.554;14;117.6;50.3
004;va;17;s;100.0;3.615;14;117.6;50.3
004;va;17;s;100.0;4.356;14;117.6;50.3
004;va;17;s;49.9;1.896;14;117.6;50.3
004;va;17;s;50.1;-21.426;14;117.6;50.3
004;va;17;s;50.7;-1.667;14;117.6;50.3
004;va;17;s;49.3;1.909;14;117.6;50.3
004;va;17;s;50.3;1.674;14;117.6;50.3
004;va;19;f;266.89999999999998;0;13;266.89999999999998;132.59999999999999
004;va;19;f;83.700000000000003;0;13;266.89999999999998;132.59999999999999
004;va;19;f;133.0;0;13;266.89999999999998;132.59999999999999
004;va;19;f;133.09999999999999;0;13;266.89999999999998;132.59999999999999
004;va;19;f;232.80000000000001;0;13;266.89999999999998;132.59999999999999
004;va;19;f;282.80000000000001;0;13;266.89999999999998;132.59999999999999
004;va;19;f;114.90000000000001;0;13;266.89999999999998;132.59999999999999
004;va;19;f;249.40000000000001;0;13;266.89999999999998;132.59999999999999
004;va;19;f;183.0;0;13;266.89999999999998;132.59999999999999
004;va;19;f;215.69999999999999;0;13;266.89999999999998;132.59999999999999
004;va;19;f;299.39999999999998;0;13;266.89999999999998;132.59999999999999
004;va;19;f;150.30000000000001;0;13;266.89999999999998;132.59999999999999
004;va;19;f;132.59999999999999;0;13;266.89999999999998;132.59999999999999
004;va;19;s;49.6;-1.665;20;49.6;83.3
004;va;19;s;66.5;-2.364;20;49.6;83.3
004;va;19;s;150.4;9.438;20;49.6;83.3
004;va;19;s;50.4;-1.506;20;49.6;83.3
004;va;19;s;133.2;5.39;20;49.6;83.3
004;va;19;s;99.9;8.268;20;49.6;83.3
004;va;19;s;49.9;5.339;20;49.6;83.3
004;va;19;s;82.8;-9.085;20;49.6;83.3
004;va;19;s;49.4;-3.579;20;49.6;83.3
004;va;19;s;134.1;21.571;20;49.6;83.3
004;va;19;s;66.1;-2.208;20;49.6;83.3
004;va;19;s;116.9;10.617;20;49.6;83.3
004;va;19;s;117.5;-20.873;20;49.6;83.3
004;va;19;s;216.7;-2.716;20;49.6;83.3
004;va;19;s;66.8;1.472;20;49.6;83.3
004;va;19;s;49.8;1.549;20;49.6;83.3
004;va;19;s;49.6;8.408;20;49.6;83.3
004;va;19;s;66.6;8.557;20;49.6;83.3
004;va;19;s;50.3;1.033;20;49.6;83.3
004;va;19;s;83.3;-23.256;20;49.6;83.3
004;va;20;f;399.89999999999998;0;13;399.89999999999998;150.80000000000001
004;va;20;f;199.5;0;13;399.89999999999998;150.80000000000001
004;va;20;f;117.09999999999999;0;13;399.89999999999998;150.80000000000001
004;va;20;f;300.10000000000002;0;13;399.89999999999998;150.80000000000001
004;va;20;f;199.5;0;13;399.89999999999998;150.80000000000001
004;va;20;f;184.5;0;13;399.89999999999998;150.80000000000001
004;va;20;f;133.30000000000001;0;13;399.89999999999998;150.80000000000001
004;va;20;f;316.5;0;13;399.89999999999998;150.80000000000001
004;va;20;f;115.90000000000001;0;13;399.89999999999998;150.80000000000001
004;va;20;f;115.59999999999999;0;13;399.89999999999998;150.80000000000001
004;va;20;f;100.0;0;13;399.89999999999998;150.80000000000001
004;va;20;f;200.0;0;13;399.89999999999998;150.80000000000001
004;va;20;f;150.80000000000001;0;13;399.89999999999998;150.80000000000001
004;va;20;s;100.0;7.815;14;100.0;49.2
004;va;20;s;49.0;3.778;14;100.0;49.2
004;va;20;s;50.7;1.295;14;100.0;49.2
004;va;20;s;116.2;8.093;14;100.0;49.2
004;va;20;s;83.1;6.667;14;100.0;49.2
004;va;20;s;66.3;3.825;14;100.0;49.2
004;va;20;s;99.8;4.738;14;100.0;49.2
004;va;20;s;49.3;-3.009;14;100.0;49.2
004;va;20;s;66.6;-1.919;14;100.0;49.2
004;va;20;s;67.0;5.791;14;100.0;49.2
004;va;20;s;49.6;1.251;14;100.0;49.2
